at,atgdlast10,atgdlast20,atgdlast5,atwinslast20,atwinslat10,atwinslat5,ht,htgdlast10,htgdlast20,htgdlast5,htwinslast20,htwinslat10,htwinslat5,result,versuslast5
Mallorca,-10.0,-11.0,-3.0,-0.5,-1.0,0.0,Osasuna,-2.0,1.0,-2.0,5.5,2.5,0.0,D,-0.5
Valladolid,-5.0,-5.0,-4.0,1.5,-1.5,-0.5,Santander,-5.0,-6.0,-4.0,1.0,1.0,-0.5,H,-0.5
Villarreal,6.0,4.0,2.0,1.5,1.5,0.0,Zaragoza,-10.0,-9.0,-6.0,-2.5,-3.5,-2.0,H,0.5
Sevilla,3.0,7.0,4.0,1.5,-0.5,1.0,Betis,4.0,4.0,4.0,4.5,4.5,2.5,D,0.5
Zaragoza,-6.0,-5.0,0.0,-1.5,-1.5,0.0,Valladolid,-5.0,-5.0,-5.0,1.5,-1.5,-2.0,A,1.0
Valencia,11.0,21.0,6.0,7.5,4.0,1.5,Espanol,-5.0,-19.0,-3.0,-5.0,-1.0,0.0,H,-2.0
Barcelona,12.0,9.0,10.0,4.0,3.0,2.0,La Coruna,12.0,18.0,4.0,8.5,3.0,1.5,A,1.0
Santander,0.0,-3.0,-3.0,2.0,3.0,0.0,Malaga,-5.0,-2.0,-2.0,-0.5,-1.0,0.0,H,-0.5
Celta,-6.0,-8.0,-3.0,1.0,1.5,0.0,Real Madrid,8.0,17.0,5.0,9.0,4.0,2.5,H,1.0
Ath Bilbao,2.0,1.0,4.0,5.5,4.5,3.0,Villarreal,3.0,-1.0,-3.0,0.5,0.0,-2.0,A,0.5
Espanol,-2.0,-17.0,-1.0,-3.0,0.0,1.0,Celta,-8.0,-9.0,-2.0,1.0,0.0,-1.0,A,1.0
Sociedad,3.0,-10.0,-2.0,0.0,1.5,-0.5,Osasuna,-2.0,1.0,-2.0,4.5,1.5,0.0,D,-2.5
Real Madrid,9.0,18.0,6.0,9.0,4.0,2.5,Santander,-1.0,-8.0,-5.0,1.0,1.5,-2.0,D,-1.5
La Coruna,12.0,13.0,4.0,7.5,4.0,2.5,Valencia,9.0,19.0,6.0,6.5,3.0,0.5,H,-1.0
Valladolid,-6.0,-2.0,-7.0,1.5,-2.0,-2.0,Ath Bilbao,2.0,2.0,4.0,5.0,3.5,2.0,A,-2.5
Mallorca,-10.0,-10.0,-6.0,0.5,-0.5,0.0,Barcelona,11.0,11.0,10.0,4.0,3.0,2.0,H,1.0
Villarreal,0.0,-2.0,-3.0,0.0,-1.0,-1.0,Sevilla,4.0,7.0,5.0,1.5,1.0,1.5,H,1.0
Malaga,-6.0,-2.0,0.0,-0.5,-1.0,1.0,Zaragoza,-4.0,-4.0,3.0,-2.0,-1.5,0.0,H,-2.5
Zaragoza,-4.0,-4.0,5.0,-2.0,-0.5,2.0,Real Madrid,7.0,16.0,5.0,9.5,4.5,3.0,D,1.0
Osasuna,-1.0,0.0,-2.0,4.0,2.0,0.0,Betis,6.0,3.0,1.0,3.0,4.0,1.0,D,-0.5
Valencia,11.0,18.0,4.0,6.5,3.0,1.5,Celta,-12.0,-11.0,-5.0,1.0,-0.5,0.0,A,1.0
Santander,-1.0,-10.0,-4.0,0.5,1.5,-0.5,Espanol,3.0,-9.0,2.0,-2.0,1.0,1.0,A,1.0
Ath Bilbao,-1.0,-3.0,-1.0,4.0,3.0,2.0,Malaga,-8.0,-1.0,4.0,-0.5,-2.0,0.0,H,-1.0
La Coruna,8.0,8.0,0.0,6.5,2.0,0.5,Mallorca,-9.0,-10.0,-5.0,0.5,-1.5,-1.0,H,1.0
Sevilla,7.0,9.0,8.0,2.0,3.0,3.5,Valladolid,-5.0,2.0,-3.0,2.5,-2.0,-2.0,H,-1.0
Real Madrid,6.0,14.0,4.0,9.0,4.0,2.5,Ath Bilbao,-2.0,-2.0,-3.0,4.0,1.5,0.0,H,-1.5
Sociedad,5.0,-8.0,-1.0,1.5,3.0,1.0,Barcelona,17.0,14.0,7.0,5.0,4.5,2.0,H,1.0
Villarreal,-1.0,-1.0,-2.0,0.5,0.0,0.0,Osasuna,-1.0,1.0,-1.0,5.5,2.0,0.5,H,-1.5
Celta,-9.0,-17.0,-8.0,1.0,-0.5,-1.0,Santander,-3.0,-7.0,-2.0,1.5,0.5,-0.5,D,2.0
Malaga,-6.0,-1.0,6.0,-0.5,-1.0,2.0,Sevilla,3.0,7.0,3.0,0.5,1.0,1.5,A,-1.5
Mallorca,-5.0,-6.0,0.0,1.5,0.5,1.0,Valencia,11.0,21.0,3.0,7.5,2.0,0.5,H,1.5
Espanol,0.0,-6.0,-1.0,-2.0,0.0,0.0,Zaragoza,-4.0,-3.0,4.0,-0.5,-0.5,1.5,D,-1.5
Ath Bilbao,3.0,-1.0,-1.0,4.0,3.5,0.5,Espanol,-1.0,-7.0,2.0,-1.5,0.5,1.5,H,-0.5
La Coruna,2.0,8.0,-5.0,5.5,1.5,-0.5,Sociedad,3.0,-5.0,-2.0,1.5,1.0,-0.5,A,-2.0
Zaragoza,-1.0,-3.0,5.0,-0.5,1.0,3.0,Celta,-11.0,-17.0,-10.0,1.0,0.0,-0.5,A,1.5
Sevilla,2.0,6.0,0.0,0.0,0.5,1.5,Real Madrid,5.0,12.0,2.0,7.5,4.0,1.0,H,1.0
Valencia,14.0,25.0,7.0,8.0,3.0,1.0,Santander,-3.0,-6.0,1.0,2.0,0.5,1.0,A,-0.5
Osasuna,0.0,0.0,2.0,5.5,2.5,2.5,Valladolid,-3.0,0.0,1.0,1.0,-1.5,-1.0,D,0.0
Villarreal,-6.0,-1.0,-3.0,0.0,-2.5,-0.5,Barcelona,15.0,12.0,6.0,5.0,4.5,2.0,D,0.0
Espanol,2.0,-4.0,5.0,-0.5,2.5,2.5,Sevilla,-1.0,4.0,-5.0,0.0,0.5,-0.5,H,1.0
Celta,-13.0,-18.0,-10.0,1.0,-0.5,-0.5,Ath Bilbao,2.0,1.0,-2.0,4.0,2.0,-1.0,D,0.0
Betis,2.0,3.0,-2.0,2.5,2.0,-0.5,La Coruna,0.0,9.0,-4.0,5.0,0.5,-1.0,D,1.0
Sociedad,0.0,-6.0,-2.0,1.0,0.0,0.5,Mallorca,-9.0,-9.0,-6.0,-0.5,-2.0,-2.0,D,-1.0
Malaga,0.0,-1.0,2.0,0.0,1.5,1.5,Osasuna,0.0,1.0,2.0,7.0,2.5,2.5,D,-2.0
Sevilla,1.0,2.0,-4.0,0.0,1.5,0.0,Celta,-10.0,-18.0,-8.0,1.0,0.0,1.0,D,0.0
Barcelona,15.0,12.0,5.0,5.0,4.5,2.5,Valladolid,-5.0,-3.0,2.0,-1.0,-2.5,-0.5,A,0.0
Mallorca,-11.0,-12.0,-5.0,-1.0,-1.5,-1.5,Betis,2.0,4.0,-2.0,3.0,2.0,-0.5,A,-1.0
Osasuna,-1.0,1.0,1.0,7.0,3.0,3.0,Real Madrid,9.0,17.0,3.0,8.5,3.5,1.0,A,0.0
Ath Bilbao,1.0,0.0,-3.0,3.5,1.5,-0.5,Santander,-7.0,-11.0,-2.0,2.5,-0.5,1.5,A,-1.0
La Coruna,1.0,8.0,-3.0,4.5,2.0,-0.5,Villarreal,-5.0,0.0,-2.0,1.5,-1.0,0.0,A,0.5
Valencia,20.0,26.0,14.0,9.0,3.5,3.0,Zaragoza,6.0,-3.0,3.0,-0.5,2.5,2.5,A,-2.5
Barcelona,16.0,13.0,6.0,4.0,4.5,2.5,Betis,-1.0,3.0,-4.0,4.0,2.0,-1.0,D,-1.0
Zaragoza,6.0,-5.0,1.0,-0.5,3.5,1.5,Ath Bilbao,0.0,-1.0,1.0,3.5,1.5,-0.5,H,1.0
Valladolid,-6.0,-7.0,-3.0,-2.0,-2.5,-0.5,La Coruna,2.0,10.0,2.0,4.0,1.0,0.5,D,1.0
Malaga,8.0,0.0,4.0,1.0,3.0,3.0,Barcelona,11.0,14.0,5.0,5.5,4.0,2.0,H,1.0
Villarreal,-6.0,-3.0,-2.0,0.5,-1.0,1.0,Mallorca,-7.0,-11.0,-2.0,-1.0,-1.5,-0.5,A,-0.5
Espanol,1.0,-5.0,-1.0,-1.0,2.0,1.0,Osasuna,2.0,4.0,4.0,6.5,2.5,2.5,A,1.5
Sociedad,-2.0,-2.0,1.0,3.5,0.5,1.5,Valencia,16.0,27.0,12.0,8.5,3.5,2.0,D,0.5
La Coruna,0.0,11.0,4.0,4.5,1.5,2.0,Malaga,6.0,-1.0,0.0,1.0,3.0,1.0,D,-1.5
Valencia,13.0,26.0,10.0,8.0,3.0,2.5,Ath Bilbao,3.0,4.0,6.0,4.5,1.5,1.5,D,-1.5
Sociedad,-1.0,-2.0,0.0,3.5,2.0,1.0,Betis,-2.0,5.0,-2.0,5.0,1.5,0.0,H,2.0
Osasuna,1.0,2.0,2.0,6.0,2.5,2.0,Celta,-8.0,-15.0,0.0,1.5,0.5,1.5,H,0.0
Barcelona,13.0,17.0,6.0,6.0,5.0,3.0,Real Madrid,5.0,14.0,1.0,7.0,2.5,0.0,A,1.5
Mallorca,-5.0,-13.0,-5.0,-2.0,-0.5,-1.5,Valladolid,-4.0,-7.0,-5.0,-2.0,-1.0,-1.0,A,-2.0
Real Madrid,4.0,11.0,2.0,6.0,2.0,1.0,La Coruna,-2.0,11.0,3.0,4.5,1.0,1.5,H,-1.5
Espanol,6.0,1.0,4.0,1.0,3.0,1.5,Barcelona,12.0,22.0,6.0,7.0,4.0,2.0,H,1.0
Malaga,3.0,-5.0,-1.0,0.5,2.5,1.5,Mallorca,-3.0,-13.0,1.0,-2.0,-1.0,-0.5,H,-0.5
Santander,-8.0,-13.0,-9.0,1.5,0.5,-0.5,Osasuna,2.0,0.0,0.0,5.0,2.5,0.0,A,1.5
Ath Bilbao,3.0,4.0,4.0,4.5,1.5,1.0,Sevilla,0.0,3.0,0.0,3.0,3.5,2.0,H,-1.0
Villarreal,-6.0,0.0,0.0,1.5,0.0,2.0,Sociedad,-2.0,-3.0,0.0,2.0,0.5,1.0,D,-0.5
Betis,-2.0,6.0,0.0,5.5,1.5,2.0,Valencia,13.0,26.0,6.0,8.0,3.0,2.0,H,0.5
Barcelona,14.0,26.0,9.0,8.0,5.0,2.5,Celta,-8.0,-14.0,2.0,2.0,0.5,1.0,H,1.0
Mallorca,-2.0,-13.0,4.0,-2.0,-0.5,1.5,Real Madrid,0.0,8.0,-4.0,5.0,1.0,-1.0,A,0.5
La Coruna,0.0,12.0,4.0,4.5,1.5,2.5,Espanol,5.0,0.0,0.0,1.0,2.0,-0.5,H,-1.0
Valencia,16.0,27.0,5.0,8.0,4.0,3.0,Sevilla,1.0,4.0,6.0,3.0,3.5,4.0,A,-2.5
Sociedad,-1.0,1.0,1.0,2.5,2.0,1.5,Valladolid,-4.0,-9.0,-6.0,-2.5,-1.0,-1.5,D,-1.0
Betis,-4.0,0.0,-2.0,4.5,0.0,0.5,Villarreal,-3.0,0.0,0.0,1.5,1.5,2.0,H,-0.5
Osasuna,1.0,-2.0,-1.0,4.0,2.0,-0.5,Zaragoza,-3.0,-9.0,-7.0,-0.5,1.0,-1.0,H,0.0
Valencia,19.0,28.0,5.0,8.0,5.0,2.0,Villarreal,-1.0,-1.0,1.0,1.5,2.5,2.5,H,-1.5
Valladolid,-3.0,-9.0,-5.0,-2.5,-0.5,0.0,Betis,-5.0,0.0,-1.0,3.5,-1.5,-0.5,H,0.5
Celta,-5.0,-13.0,3.0,2.5,2.5,1.5,La Coruna,-1.0,11.0,2.0,4.5,0.5,1.0,H,0.5
Santander,-7.0,-8.0,-5.0,2.5,1.0,-0.5,Barcelona,12.0,23.0,6.0,7.0,4.0,1.5,H,0.0
Espanol,6.0,4.0,3.0,2.0,2.0,1.5,Mallorca,0.0,-10.0,5.0,-1.0,-0.5,1.0,H,-1.0
Ath Bilbao,0.0,2.0,3.0,4.0,0.5,1.0,Osasuna,-1.0,-3.0,-2.0,2.5,1.0,-2.0,A,0.0
Malaga,0.0,-6.0,-1.0,0.5,1.5,0.5,Sociedad,0.0,3.0,1.0,4.0,2.5,1.5,D,0.5
Mallorca,3.0,-6.0,5.0,0.0,1.5,2.0,Celta,-4.0,-16.0,0.0,1.0,1.5,0.0,A,2.0
Betis,-3.0,3.0,0.0,4.5,0.5,0.0,Malaga,1.0,-7.0,-3.0,1.0,3.0,0.0,A,-0.5
Sociedad,0.0,5.0,-1.0,4.5,2.5,1.0,Real Madrid,-4.0,3.0,-4.0,3.0,-1.5,-2.0,A,-1.5
La Coruna,5.0,13.0,3.0,4.5,2.5,2.0,Santander,-8.0,-9.0,-5.0,1.0,-0.5,-1.5,A,-1.0
Osasuna,-2.0,-3.0,-6.0,2.5,0.5,-2.0,Sevilla,0.0,7.0,6.0,5.0,2.0,2.5,H,-0.5
Villarreal,2.0,-2.0,4.0,2.5,4.5,3.5,Valladolid,-7.0,-12.0,-4.0,-3.5,-1.5,-1.0,H,0.0
Barcelona,12.0,24.0,7.0,7.5,4.0,2.0,Zaragoza,-3.0,-7.0,-4.0,0.5,1.0,-0.5,H,-0.5
La Coruna,8.0,9.0,4.0,4.5,3.5,1.5,Espanol,3.0,3.0,1.0,2.0,2.0,1.0,D,-1.0
Real Madrid,-7.0,-1.0,-8.0,2.0,-2.0,-2.0,Mallorca,2.0,-3.0,7.0,1.0,0.5,2.0,A,0.0
Ath Bilbao,4.0,2.0,-2.0,3.0,1.5,0.0,Osasuna,-3.0,-4.0,-5.0,1.0,-1.0,-3.0,D,0.0
Barcelona,9.0,26.0,3.0,7.5,3.0,0.0,Santander,-10.0,-13.0,-3.0,0.0,-0.5,-0.5,A,0.5
Villarreal,-2.0,-3.0,0.0,2.5,2.5,2.5,Valencia,12.0,23.0,2.0,5.0,3.0,0.5,H,0.0
Valencia,9.0,23.0,3.0,6.0,3.0,1.0,Ath Bilbao,2.0,5.0,-2.0,4.5,1.0,0.0,D,-1.5
Sevilla,5.0,7.0,5.0,5.5,5.0,3.0,Barcelona,10.0,25.0,4.0,6.5,2.0,0.0,H,1.5
Espanol,3.0,2.0,-1.0,2.5,2.0,0.5,Betis,-1.0,1.0,-1.0,3.5,1.5,-0.5,A,1.0
Osasuna,-4.0,-4.0,-4.0,1.0,-1.5,-1.5,La Coruna,7.0,9.0,4.0,4.5,3.0,1.5,A,0.5
Zaragoza,0.0,-1.0,3.0,3.0,2.0,2.0,Malaga,-4.0,-6.0,-3.0,1.0,1.0,-0.5,D,2.0
Sociedad,3.0,6.0,3.0,4.0,3.0,2.0,Villarreal,-2.0,-6.0,-2.0,0.5,2.5,0.5,D,0.0
Real Madrid,-7.0,2.0,-3.0,3.5,-1.0,0.0,Espanol,5.0,7.0,5.0,3.5,1.0,1.5,H,-0.5
Betis,-4.0,-2.0,-2.0,3.0,1.0,0.5,Osasuna,-2.0,-2.0,-1.0,0.5,-2.0,-1.5,H,1.0
Sociedad,4.0,4.0,3.0,3.5,3.5,2.0,Valencia,6.0,23.0,1.0,6.0,3.5,0.5,H,2.0
La Coruna,4.0,4.0,0.0,3.5,3.0,0.5,Ath Bilbao,3.0,5.0,0.0,4.5,2.5,1.5,A,0.5
Malaga,-4.0,-4.0,-2.0,2.5,1.0,1.0,Mallorca,8.0,-1.0,4.0,0.5,2.5,1.0,A,0.0
Villarreal,-2.0,-8.0,-2.0,0.0,2.5,0.5,Santander,-11.0,-17.0,-6.0,-2.0,-2.0,-1.5,D,-1.5
Osasuna,-1.0,-2.0,1.0,1.5,-1.5,0.5,Real Madrid,-9.0,0.0,-3.0,1.5,-2.0,-1.0,H,-1.0
Ath Bilbao,2.0,3.0,-1.0,3.5,2.0,1.0,Betis,-3.0,-4.0,-2.0,2.0,0.0,0.5,H,1.0
Valencia,6.0,26.0,1.0,7.0,3.5,1.5,La Coruna,5.0,6.0,3.0,4.5,2.5,1.5,A,-1.0
Santander,-11.0,-18.0,-6.0,-2.5,-2.0,-1.5,Sociedad,2.0,-1.0,1.0,2.5,2.0,0.5,A,2.0
Sevilla,9.0,10.0,6.0,6.5,5.0,2.0,Villarreal,-2.0,-7.0,-3.0,1.5,2.5,0.0,D,-1.5
Zaragoza,-1.0,5.0,5.0,5.5,3.0,3.5,Barcelona,10.0,26.0,4.0,7.5,3.0,1.5,H,1.5
Real Madrid,-5.0,0.0,-1.0,2.5,-1.0,1.0,Ath Bilbao,0.0,0.0,-3.0,2.5,1.0,0.0,H,0.5
Betis,-2.0,-4.0,-2.0,2.0,0.5,0.5,La Coruna,-1.0,1.0,-4.0,3.5,2.5,0.5,D,0.5
Malaga,-2.0,6.0,1.0,3.5,0.5,0.5,Espanol,6.0,7.0,5.0,3.5,1.5,1.5,H,0.0
Barcelona,13.0,24.0,6.0,7.5,3.5,1.5,Mallorca,5.0,-2.0,0.0,1.0,2.5,0.5,A,-0.5
Sociedad,-1.0,-3.0,0.0,1.5,1.0,0.0,Sevilla,9.0,11.0,3.0,8.0,5.0,2.5,H,0.0
Santander,-9.0,-16.0,-4.0,-1.5,-2.0,-0.5,Valencia,9.0,25.0,6.0,7.0,3.5,2.5,H,0.0
Valencia,11.0,24.0,9.0,7.0,4.0,3.5,Betis,-3.0,-5.0,-3.0,2.5,1.0,1.0,D,-1.0
Osasuna,-2.0,-1.0,3.0,1.0,-1.5,1.5,Malaga,0.0,6.0,1.0,3.5,0.5,-0.5,H,1.5
La Coruna,-1.0,-1.0,-5.0,4.0,2.5,1.0,Real Madrid,-7.0,-2.0,1.0,0.5,-2.0,0.0,A,0.0
Zaragoza,2.0,3.0,1.0,5.5,4.0,2.5,Villarreal,-2.0,-6.0,-2.0,2.0,2.0,-0.5,H,-0.5
Real Madrid,-7.0,-3.0,-1.0,0.0,-2.0,0.0,Betis,-4.0,-6.0,-3.0,2.0,0.5,1.0,D,-1.0
Barcelona,12.0,24.0,8.0,7.5,3.5,3.5,Espanol,2.0,8.0,3.0,3.5,0.5,0.0,A,-3.0
Malaga,2.0,5.0,5.0,3.5,1.0,1.5,Ath Bilbao,-5.0,-2.0,-3.0,1.0,-0.5,-0.5,H,0.5
Villarreal,-1.0,-7.0,1.0,2.0,2.0,1.5,Mallorca,0.0,-3.0,-4.0,0.5,1.5,-0.5,D,-0.5
Sevilla,7.0,7.0,2.0,8.5,5.0,2.0,Valencia,11.0,24.0,8.0,7.0,4.0,3.0,A,3.0
Sociedad,0.0,-2.0,-3.0,2.0,1.5,-0.5,Zaragoza,0.0,2.0,-3.0,5.5,2.5,0.5,H,0.5
La Coruna,-1.0,-1.0,-1.0,3.5,2.0,1.5,Malaga,2.0,2.0,4.0,2.5,1.0,0.0,D,-1.5
Valencia,8.0,24.0,7.0,7.0,3.0,2.5,Real Madrid,-5.0,-5.0,-2.0,0.5,-0.5,-0.5,H,1.5
Osasuna,-1.0,0.0,0.0,1.5,-0.5,1.0,Barcelona,10.0,24.0,7.0,7.5,2.5,2.5,H,1.0
Mallorca,-1.0,-3.0,-5.0,0.5,1.0,0.0,Sociedad,-1.0,-2.0,-4.0,2.0,0.0,-2.0,H,1.0
Barcelona,14.0,26.0,10.0,8.5,4.5,3.0,Ath Bilbao,-3.0,-3.0,-2.0,0.5,0.0,-1.0,D,0.0
Malaga,1.0,1.0,3.0,2.0,0.5,0.5,Betis,1.0,-4.0,3.0,1.5,3.0,2.5,D,2.5
Villarreal,2.0,1.0,5.0,4.5,2.0,2.0,Espanol,4.0,10.0,0.0,2.5,0.5,-1.0,D,1.5
Santander,-7.0,-14.0,-1.0,-1.0,-2.0,-0.5,Mallorca,-3.0,-3.0,-5.0,-0.5,0.0,-1.0,A,-1.0
La Coruna,-2.0,3.0,2.0,5.5,3.0,2.5,Barcelona,13.0,25.0,7.0,8.0,4.0,2.5,H,0.0
Sevilla,3.0,3.0,0.0,6.0,4.0,1.5,Osasuna,-3.0,-5.0,-4.0,0.0,-0.5,0.0,H,-0.5
Mallorca,-6.0,-3.0,-6.0,0.5,-1.0,-1.5,Valencia,6.0,18.0,-3.0,5.5,2.5,-1.0,H,2.0
Malaga,1.0,2.0,0.0,3.5,0.5,0.0,Barcelona,15.0,24.0,6.0,9.0,6.0,3.5,H,2.0
Betis,-1.0,-3.0,2.0,3.0,3.0,2.0,Sociedad,2.0,2.0,2.0,2.5,0.0,0.0,H,-2.5
La Coruna,-4.0,4.0,1.0,5.5,2.0,1.0,Santander,-5.0,-13.0,-1.0,-1.5,-1.0,-0.5,D,-1.0
Ath Bilbao,-4.0,0.0,-3.0,1.0,-0.5,-1.5,Sevilla,-1.0,2.0,-4.0,6.0,2.0,-0.5,H,-0.5
Real Madrid,8.0,1.0,7.0,1.5,3.5,3.5,Villarreal,1.0,3.0,5.0,6.0,1.5,2.0,D,-1.5
Espanol,6.0,6.0,1.0,3.0,2.0,0.5,Zaragoza,2.0,0.0,1.0,4.5,3.0,0.5,A,-1.0
Mallorca,-7.0,-2.0,-3.0,0.5,-1.0,-0.5,Espanol,5.0,8.0,1.0,3.0,1.0,-0.5,H,-1.0
Sevilla,0.0,5.0,-2.0,7.0,2.0,0.0,La Coruna,-4.0,3.0,0.0,5.0,2.0,1.5,D,2.0
Zaragoza,-1.0,-1.0,2.0,4.0,2.0,1.5,Osasuna,0.0,-4.0,-1.0,-1.5,0.0,0.0,D,0.5
Valencia,7.0,13.0,3.0,5.5,2.0,1.5,Barcelona,16.0,28.0,9.0,8.5,6.0,3.5,D,-1.0
Real Madrid,7.0,3.0,8.0,3.0,4.0,4.0,Santander,-3.0,-15.0,0.0,-2.5,-1.5,-0.5,A,-1.5
Osasuna,-2.0,-4.0,-2.0,-1.5,0.5,-0.5,Mallorca,-9.0,-1.0,-4.0,0.5,-2.0,-2.0,A,2.5
Betis,2.0,-2.0,2.0,3.5,2.5,1.0,Sevilla,2.0,9.0,-3.0,8.5,3.5,0.5,H,1.0
Malaga,1.0,-3.0,-4.0,2.5,1.5,0.0,Villarreal,6.0,4.0,5.0,6.5,4.0,2.5,H,0.5
Ath Bilbao,-5.0,-2.0,-3.0,1.0,-1.5,-1.5,Zaragoza,-1.0,-3.0,1.0,4.5,2.0,1.0,A,-0.5
Mallorca,-9.0,-2.0,-4.0,0.0,-2.0,-1.0,Ath Bilbao,-2.0,0.0,0.0,0.5,-1.5,-0.5,H,0.0
Zaragoza,-4.0,-5.0,0.0,4.0,1.0,2.0,La Coruna,-4.0,1.0,-2.0,4.0,1.5,-0.5,A,1.0
Sociedad,0.0,3.0,3.0,4.0,1.0,1.5,Malaga,-2.0,-6.0,-6.0,1.0,0.0,0.0,A,-1.0
Sevilla,0.0,9.0,-3.0,8.5,3.5,0.5,Real Madrid,7.0,0.0,9.0,2.0,3.0,3.5,A,1.0
Espanol,3.0,8.0,4.0,3.0,2.0,2.0,Valencia,3.0,12.0,3.0,6.0,2.5,1.5,H,1.5
Sociedad,4.0,8.0,8.0,4.0,0.5,2.5,Real Madrid,7.0,-2.0,7.0,2.0,4.0,2.5,H,-2.5
Osasuna,1.0,-4.0,5.0,-1.0,1.5,1.5,Espanol,-1.0,6.0,-1.0,3.0,0.0,1.0,H,-0.5
La Coruna,-1.0,-2.0,-3.0,4.0,1.5,-1.0,Mallorca,-13.0,-8.0,-7.0,-1.0,-3.5,-2.0,D,1.0
Malaga,-7.0,-10.0,-10.0,0.5,0.0,-0.5,Santander,-4.0,-15.0,-3.0,-4.0,-2.0,-1.5,H,0.0
Barcelona,14.0,27.0,7.0,9.5,6.0,3.5,Villarreal,9.0,7.0,4.0,7.0,4.5,2.5,H,0.0
Sevilla,0.0,7.0,4.0,7.5,2.5,3.0,Malaga,-11.0,-13.0,-11.0,-1.5,-2.0,-2.0,H,2.0
Espanol,3.0,9.0,2.0,3.5,2.0,1.5,Ath Bilbao,2.0,-1.0,5.0,1.0,0.0,1.5,D,0.0
Sociedad,4.0,3.0,2.0,1.5,0.5,0.5,Barcelona,9.0,21.0,3.0,7.5,5.0,1.5,H,2.0
Mallorca,-11.0,-7.0,-5.0,-0.5,-3.0,-0.5,Betis,1.0,-2.0,-1.0,2.0,1.0,-1.0,H,-2.0
Valencia,5.0,16.0,6.0,7.0,3.0,3.5,Osasuna,-3.0,-5.0,-1.0,-2.0,-0.5,-0.5,D,-1.0
Zaragoza,0.0,2.0,-1.0,6.0,2.0,1.5,Real Madrid,11.0,4.0,4.0,3.0,5.0,1.5,H,0.5
Osasuna,-1.0,-4.0,0.0,-0.5,1.0,1.0,Ath Bilbao,4.0,-1.0,7.0,1.0,1.5,3.0,H,0.5
Santander,-2.0,-10.0,-3.0,-1.5,0.5,-0.5,Barcelona,9.0,21.0,0.0,8.5,5.0,1.5,H,1.0
Espanol,2.0,7.0,1.0,4.0,1.5,2.0,La Coruna,-2.0,-2.0,-2.0,4.0,2.0,0.5,H,0.0
Ath Madrid,-3.0,1.0,-4.0,3.5,1.5,-0.5,Malaga,-9.0,-9.0,-6.0,0.5,0.0,0.0,H,-1.0
Mallorca,-11.0,-11.0,-8.0,-1.5,-3.0,-2.5,Real Madrid,14.0,7.0,6.0,4.0,6.0,2.0,H,0.0
Valencia,6.0,14.0,5.0,6.5,3.5,4.0,Villarreal,15.0,13.0,9.0,8.0,6.0,2.5,H,-1.0
Barcelona,11.0,21.0,2.0,8.5,6.0,2.5,Sevilla,0.0,6.0,3.0,5.0,1.0,0.5,A,-0.5
Betis,7.0,5.0,5.0,4.0,2.0,1.0,Espanol,0.0,2.0,-3.0,2.0,1.5,0.0,D,0.0
La Coruna,0.0,-1.0,1.0,4.0,2.0,1.0,Osasuna,-3.0,-4.0,-1.0,-1.5,-1.0,-0.5,D,0.0
Ath Madrid,-2.0,1.0,-3.0,2.0,1.5,-0.5,Villarreal,15.0,14.0,10.0,8.0,6.0,3.5,H,-1.5
Real Madrid,16.0,13.0,9.0,6.0,5.5,3.0,La Coruna,0.0,1.0,2.0,5.5,2.0,2.5,H,-0.5
Sociedad,2.0,2.0,-1.0,0.0,-1.5,-3.0,Ath Madrid,-3.0,1.0,-3.0,1.0,0.0,-0.5,H,-2.0
Malaga,-10.0,-8.0,-6.0,1.0,0.0,0.0,Osasuna,0.0,-3.0,-2.0,0.0,0.5,0.0,A,-1.5
Santander,-4.0,-12.0,-4.0,-2.0,0.5,0.0,Sevilla,-5.0,4.0,-2.0,5.0,0.0,-0.5,D,1.0
Betis,5.0,6.0,6.0,5.5,2.5,2.5,Valencia,5.0,10.0,2.0,5.5,3.5,2.0,H,0.5
Villarreal,16.0,15.0,8.0,8.5,6.5,3.5,Zaragoza,-4.0,-1.0,-5.0,4.5,0.0,-1.0,H,0.0
Espanol,0.0,4.0,1.0,3.5,3.0,2.0,Barcelona,12.0,25.0,5.0,9.0,5.0,1.5,D,2.0
Ath Bilbao,4.0,2.0,7.0,3.0,1.5,3.0,Malaga,-4.0,-2.0,2.0,2.0,1.0,1.0,H,0.0
Betis,4.0,4.0,4.0,3.5,1.0,0.5,Real Madrid,12.0,12.0,6.0,6.0,3.5,1.0,H,2.0
Valencia,6.0,12.0,3.0,7.5,4.0,2.5,Ath Madrid,-2.0,1.0,1.0,2.0,0.5,0.5,H,-0.5
Mallorca,-10.0,-16.0,-3.0,-3.5,-2.5,-0.5,Santander,-5.0,-12.0,-2.0,-2.0,0.0,1.5,H,1.0
Zaragoza,-2.0,-1.0,-2.0,4.5,2.0,0.0,Sevilla,-2.0,1.0,-3.0,5.5,1.5,0.0,A,1.0
Espanol,0.0,6.0,-2.0,5.0,3.0,1.5,Villarreal,11.0,13.0,7.0,6.5,4.5,2.0,H,0.5
Sociedad,2.0,2.0,-4.0,-1.0,-1.5,-2.0,Espanol,-4.0,1.0,-5.0,3.0,2.0,0.0,D,-1.5
Barcelona,11.0,26.0,8.0,10.5,4.5,3.0,La Coruna,4.0,0.0,6.0,5.5,3.5,3.0,A,0.0
